Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units
NSRDB,1196743,-,-,-,10.41,-75.5,-5,10,-5,w/m2,w/m2,w/m2,c
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,Category
2015,1,1,0,30,0,0,24,0.117,9,89.35,26,1010,Baja
2015,1,1,1,30,0,0,24,0.117,8.7,94.87,26,1010,Baja
2015,1,1,2,30,0,0,24,0.117,8.3,94.43,25,1010,Baja
2015,1,1,3,30,0,0,23,0.117,7.7,93.67,25,1010,Baja
2015,1,1,4,30,0,0,23,0.117,7,93.2,25,1010,Baja
2015,1,1,5,30,0,0,23,0.117,6.1,92.69,25,1010,Baja
2015,1,1,6,30,13,25,23,0.117,5.6,92.61,25,1010,Baja
2015,1,1,7,30,75,511,23,0.117,5,86.7,26,1010,Media
2015,1,1,8,30,100,728,23,0.117,4.4,79.23,27,1010,MediaA
2015,1,1,9,30,115,828,22,0.117,3.9,72.32,28,1010,Alta
2015,1,1,10,30,117,892,22,0.117,3.4,67.23,29,1010,Alta
2015,1,1,11,30,123,910,22,0.117,3.3,68.06,30,1010,Alta
2015,1,1,12,30,126,908,22,0.117,3.7,63.8,30,1010,Alta
2015,1,1,13,30,136,862,22,0.117,4.3,64.43,30,1000,Alta
2015,1,1,14,30,132,803,22,0.117,5,68.97,30,1000,Alta
2015,1,1,15,30,120,697,22,0.117,5.6,69.92,29,1000,MediaA
2015,1,1,16,30,94,491,23,0.117,6.3,75.69,28,1000,Media
2015,1,1,17,30,30,70,23,0.117,6.6,82.95,27,1010,Baja
2015,1,1,18,30,0,0,24,0.117,6.7,90.26,27,1010,Baja
2015,1,1,19,30,0,0,24,0.117,6.6,91.46,27,1010,Baja
2015,1,1,20,30,0,0,24,0.117,6.6,92.58,26,1010,Baja
2015,1,1,21,30,0,0,24,0.117,6.8,93.06,26,1010,Baja
2015,1,1,22,30,0,0,24,0.117,6.9,92.96,26,1010,Baja
2015,1,1,23,30,0,0,24,0.117,7,92.96,26,1010,Baja
2015,1,2,0,30,0,0,24,0.117,7,98.54,26,1010,Baja
2015,1,2,1,30,0,0,24,0.117,7,98.26,26,1010,Baja
2015,1,2,2,30,0,0,24,0.117,7.1,97.83,26,1010,Baja
2015,1,2,3,30,0,0,24,0.117,7,97.51,25,1010,Baja
2015,1,2,4,30,0,0,24,0.117,6.8,97.38,25,1010,Baja
2015,1,2,5,30,0,0,24,0.117,6.5,97.49,25,1010,Baja
